# OESM — Dati raw World Bank — NON modificare
# Indicatore: FP.CPI.TOTL.ZG
# Paese: San Marino (SM / SMR)
# Unità: valori originali dalla fonte, NON convertiti
# Fonte: World Bank Development Indicators API
# URL API: https://api.worldbank.org/v2/country/SM/indicator/FP.CPI.TOTL.ZG
# Data download: 2026-03-23
# Questo file è una copia fedele dei dati grezzi — non modificare
#
year,value
2004,1.43083868527343
2005,1.68548890528347
2006,2.09525935611432
2007,2.49894575725803
2008,4.29320249287704
2009,2.19959237046011
2010,2.58541815582587
2011,2.89979584300123
2012,2.8273322422258
2013,1.60439298078082
2014,1.11296303373851
2015,0.145686073241066
2016,0.644075340346552
2017,1.01413313194508
2018,1.16333522293158
2019,0.472651967352852
2020,-0.133368898372915
2021,1.61551411551421
2022,5.32545321311365
2023,5.93190858629403
2024,1.24216507945569
