# OESM — Dati raw World Bank — NON modificare
# Indicatore: GC.XPN.TOTL.GD.ZS
# Paese: San Marino (SM / SMR)
# Unità: valori originali dalla fonte, NON convertiti
# Fonte: World Bank Development Indicators API
# URL API: https://api.worldbank.org/v2/country/SM/indicator/GC.XPN.TOTL.GD.ZS
# Data download: 2026-03-23
# Questo file è una copia fedele dei dati grezzi — non modificare
#
year,value
2002,35.9572969547325
2003,31.4963179659706
2004,33.2718181885424
2005,30.1599863210306
2006,29.303366330046
2007,30.4456554120225
2008,30.7148607417381
2009,36.0723472554054
2010,37.2906898520085
2011,41.7917820276286
2012,44.6508169671737
2013,46.0320867563291
2014,45.6235726666667
2015,45.2377645386161
2016,44.9877172522711
2017,43.295388835887
2018,44.3657869864291
2019,44.1548282272791
2020,47.440336858793
2021,44.0740495328967
2022,44.64064259247
2023,40.4897504268959
