# OESM — Dati raw World Bank — NON modificare
# Indicatore: NY.GDP.MKTP.CD
# Paese: San Marino (SM / SMR)
# Unità: valori originali dalla fonte, NON convertiti
# Fonte: World Bank Development Indicators API
# URL API: https://api.worldbank.org/v2/country/SM/indicator/NY.GDP.MKTP.CD
# Data download: 2026-03-23
# Questo file è una copia fedele dei dati grezzi — non modificare
#
year,value
1997,976606910.602381
1998,1048316225.70471
1999,1109473367.84318
2000,1007661366.66959
2001,1059529812.37456
2002,1148872072.38556
2003,1462590266.59186
2004,1715340542.988
2005,1786514058.22344
2006,1909765165.43137
2007,2188654628.38097
2008,2403213305.03601
2009,2064277126.41466
2010,1881191925.32503
2011,1813717438.69134
2012,1604701299.43546
2013,1678741475.14095
2014,1673911426.17254
2015,1419401070.56043
2016,1468343139.74326
2017,1528620346.31168
2018,1655353653.05934
2019,1616340692.28937
2020,1541248248.80727
2021,1855652786.18368
2022,1829211863.9476
2023,2027527227.831
