# OESM — Dati raw World Bank — NON modificare
# Indicatore: NY.GDP.MKTP.KD.ZG
# Paese: San Marino (SM / SMR)
# Unità: valori originali dalla fonte, NON convertiti
# Fonte: World Bank Development Indicators API
# URL API: https://api.worldbank.org/v2/country/SM/indicator/NY.GDP.MKTP.KD.ZG
# Data download: 2026-03-23
# Questo file è una copia fedele dei dati grezzi — non modificare
#
year,value
1998,7.4656188605108
1999,9.04936014625228
2000,2.17937971500419
2001,5.57834290401968
2002,0.310800310800303
2003,3.87296669248644
2004,4.5488441461596
2005,2.42510699001426
2006,3.83008356545962
2007,7.10932260228034
2008,-0.500939261114581
2009,-10.3209565764632
2010,-5.47368421052632
2011,-8.3147735708983
2012,-7.04453441295546
2013,-0.78397212543554
2014,-0.702370500438988
2015,2.29150556129265
2016,2.34440586055426
2017,0.258265466328027
2018,1.49390531817373
2019,2.06568514732739
2020,-6.64791081780605
2021,13.8977895076234
2022,7.89844145767604
2023,0.401934896977224
