# OESM — Dati raw World Bank — NON modificare
# Indicatore: NY.GDP.PCAP.CD
# Paese: San Marino (SM / SMR)
# Unità: valori originali dalla fonte, NON convertiti
# Fonte: World Bank Development Indicators API
# URL API: https://api.worldbank.org/v2/country/SM/indicator/NY.GDP.PCAP.CD
# Data download: 2026-03-23
# Questo file è una copia fedele dei dati grezzi — non modificare
#
year,value
1997,37852.9810311
1998,40126.93686908
1999,41931.7951488407
2000,37600.7077379601
2001,39035.1034290445
2002,41790.8432718184
2003,52529.9093701059
2004,58232.0176184948
2005,59877.8005839737
2006,63270.7780755157
2007,70124.4634385624
2008,75902.1320521765
2009,62428.9943269418
2010,56543.1898204098
2011,55601.3929703047
2012,47945.8991734281
2013,50807.8289138024
2014,51260.4938347125
2015,43146.8240435428
2016,44359.4797662688
2017,45192.0279766943
2018,47950.6880557136
2019,46630.1443120725
2020,44326.9556746411
2021,54176.4798021628
2022,54190.8417700372
2023,59879.7173015651
