# OESM — Dati raw World Bank — NON modificare
# Indicatore: SP.POP.TOTL
# Paese: San Marino (SM / SMR)
# Unità: valori originali dalla fonte, NON convertiti
# Fonte: World Bank Development Indicators API
# URL API: https://api.worldbank.org/v2/country/SM/indicator/SP.POP.TOTL
# Data download: 2026-03-23
# Questo file è una copia fedele dei dati grezzi — non modificare
#
year,value
1965,17305.0
1966,17523.0
1967,17688.0
1968,17861.0
1969,18026.0
1970,18168.0
1971,18419.0
1972,18787.0
1973,18992.0
1974,19030.0
1975,19046.0
1976,19110.0
1977,20017.0
1978,21026.0
1979,21320.0
1980,21585.0
1981,21840.0
1982,22055.0
1983,22229.0
1984,22346.0
1985,22485.0
1986,22636.0
1987,22686.0
1988,22843.0
1989,23154.0
1990,23475.0
1991,23797.0
1992,24125.0
1993,24472.0
1994,24823.0
1995,25158.0
1996,25482.0
1997,25800.0
1998,26125.0
1999,26459.0
2000,26799.0
2001,27143.0
2002,27491.0
2003,27843.0
2004,29457.0
2005,29836.0
2006,30184.0
2007,31211.0
2008,31662.0
2009,33066.0
2010,33270.0
2011,32620.0
2012,33469.0
2013,33041.0
2014,32655.0
2015,32897.0
2016,33101.0
2017,33825.0
2018,34522.0
2019,34663.0
2020,34770.0
2021,34252.0
2022,33755.0
2023,33860.0
2024,33977.0
